"1000319 0"	"01"
"1001346 1"	"11"
"1001625 1"	"11"
"1001662 0"	"01"
"1001702 0"	"01"
"1001881 0"	"01"
"100202 0"	"01"
"1002076 1"	"11"
"1002143 0"	"01"
"1003016 0"	"01"
"1003087 0"	"00"
"1003146 0"	"00"
"1003415 0"	"00"
"1003991 0"	"00"
"1004066 0"	"00"
"1004166 0"	"00"
"1004376 0"	"00"
"1004733 0"	"00"
"1005681 0"	"00"
"1006029 0"	"00"
"1006068 0"	"00"
"1006354 0"	"00"
"1006427 0"	"00"
"1006493 0"	"00"
"1007354 0"	"00"
"100775 0"	"00"
"1009088 0"	"00"
"1009426 0"	"00"
"1009544 0"	"00"
"1009615 0"	"00"
"1009792 0"	"00"
"1009888 0"	"00"
"1010058 0"	"00"
"1010387 0"	"00"
"1010403 0"	"00"
"1010784 0"	"00"
"1010817 0"	"00"
"1011590 0"	"00"
"1011668 0"	"00"
"1011774 0"	"00"
"1011977 0"	"00"
"1012017 0"	"00"
"1012443 0"	"00"
"1012948 0"	"00"
"1012949 0"	"00"
"1013234 0"	"00"
"1014281 0"	"00"
"1014290 0"	"00"
"1014381 0"	"00"
"1014738 0"	"00"
"1014761 0"	"00"
"1014993 10"	"00"
"1015107 0"	"00"
"1015138 0"	"00"
"1015505 0"	"00"
"1015714 0"	"00"
"1015764 0"	"00"
"1016184 0"	"00"
"1016954 0"	"00"
"1017352 0"	"00"
"1017357 10"	"00"
"1017435 0"	"00"
"1017641 0"	"00"
"1018347 0"	"00"
"1018393 0"	"00"
"1019196 0"	"00"
"1019457 0"	"00"
"1019503 0"	"00"
"1020440 0"	"00"
"1020631 0"	"00"
"1020793 0"	"00"
"1021139 0"	"00"
"1021148 0"	"00"
"1021390 0"	"00"
"1021798 0"	"00"
"1022052 0"	"00"
"1022219 0"	"00"
"1022464 0"	"00"
"1022611 0"	"00"
"1023466 0"	"00"
"102450 10"	"00"
"1025140 0"	"00"
"1025431 10"	"00"
"1025462 0"	"00"
"1025613 0"	"00"
"1026183 0"	"00"
"1026269 90"	"00"
"1026473 0"	"00"
"1026630 0"	"00"
"1026869 70"	"00"
"1027143 0"	"00"
"1028040 0"	"00"
"1028577 0"	"00"
"1028783 0"	"00"
"1029360 0"	"00"
"1029419 0"	"00"
"1030122 0"	"00"
"1030292 0"	"00"
"1030353 0"	"00"
"1030537 0"	"00"
"1030615 0"	"00"
"1031209 0"	"00"
"1031228 30"	"00"
"1031770 0"	"00"
"1032405 0"	"00"
"103267 0"	"00"
"1033071 0"	"00"
"1033207 0"	"00"
"1033224 0"	"00"
"1033301 0"	"00"
"1033438 0"	"00"
"1033509 0"	"00"
"1033769 0"	"00"
"1034026 0"	"00"
"1034223 0"	"00"
"1034256 0"	"00"
"1034289 10"	"00"
"1034405 10"	"00"
"103456 0"	"00"
"1034596 0"	"00"
"1034776 20"	"00"
"1034891 0"	"00"
"1035441 0"	"00"
"1035701 0"	"00"
"1036446 0"	"00"
"1036904 0"	"00"
"1037148 0"	"00"
"1037219 0"	"00"
"1037556 0"	"00"
"1037571 0"	"00"
"1037805 0"	"00"
"1037929 20"	"00"
"103809 0"	"00"
"1038332 0"	"00"
"1038376 10"	"00"
"1038618 0"	"00"
"1038677 0"	"00"
"1039032 0"	"00"
"1039183 0"	"00"
"1039221 0"	"00"
"1039436 0"	"00"
"1039587 0"	"00"
"1040055 0"	"00"
"1040953 0"	"00"
"1040968 0"	"00"
"1040985 0"	"00"
"1042210 0"	"00"
"1042586 0"	"00"
"1042622 0"	"00"
"104312 0"	"00"
"1043350 0"	"00"
"1044014 0"	"00"
"1045034 0"	"00"
"1045134 0"	"00"
"1045519 0"	"00"
"104559 0"	"00"
"1045766 0"	"00"
"1046034 0"	"00"
"1046070 0"	"00"
"1046596 0"	"00"
"1046732 0"	"00"
"104708 0"	"00"
"1047401 0"	"00"
"1047682 0"	"00"
"1047956 0"	"00"
"1048066 0"	"00"
"1048221 0"	"00"
"104856 0"	"00"
"1049197 0"	"00"
"1049404 0"	"00"
"1049707 0"	"00"
"1050160 0"	"00"
"1051159 0"	"00"
"1051169 0"	"00"
"1051391 0"	"00"
"1051451 0"	"00"
"1051767 0"	"00"
"1051800 0"	"00"
"1052033 0"	"00"
"1052387 0"	"00"
"1053337 0"	"00"
"105381 0"	"00"
"1054115 0"	"00"
"105413 10"	"00"
"1054755 0"	"00"
"1055097 0"	"00"
"1056184 0"	"00"
"1056339 0"	"00"
"1056531 0"	"00"
"1056701 0"	"00"
"1057109 0"	"00"
"1057138 0"	"00"
"105732 0"	"00"
"1057996 0"	"00"
"1058120 0"	"00"
"1058601 0"	"00"
"1058749 0"	"00"
"1058798 0"	"00"
"1059098 0"	"00"
"1059342 0"	"00"
"1059383 0"	"00"
"1059506 0"	"00"
"1059686 0"	"00"
"1060376 0"	"00"
"1060406 0"	"00"
"1061491 0"	"00"
"1061671 0"	"00"
"1061681 0"	"00"
"1061708 0"	"00"
"106185 0"	"00"
"1062085 0"	"00"
"1062282 0"	"00"
"1062520 0"	"00"
"1062904 0"	"00"
"106304 0"	"00"
"106308 0"	"00"
"1063106 0"	"00"
"106323 0"	"00"
"1063391 0"	"00"
"1063521 0"	"00"
"1063921 0"	"00"
"1064162 0"	"00"
"1064402 0"	"00"
"1064633 0"	"00"
"1064766 0"	"00"
"1064992 0"	"00"
"1065005 0"	"00"
"1065673 0"	"00"
"1065716 0"	"00"
"1065765 0"	"00"
"1066001 0"	"00"
"1066155 0"	"00"
"1066326 0"	"00"
"106654 0"	"00"
"1066811 0"	"00"
"1066938 0"	"00"
"1067133 0"	"00"
"1067346 0"	"00"
"1067430 0"	"00"
"1067447 0"	"00"
"1067841 0"	"00"
"1068149 0"	"00"
"1068224 0"	"00"
"1068236 0"	"00"
"1068549 0"	"00"
"106889 0"	"00"
"1068937 0"	"00"
"1068999 0"	"00"
"1070073 0"	"00"
